学号,课程门数,线性代数A，公共基础，必修，学分3.5，学时56，2021-2022-2,高等数学Ⅰ，公共基础，必修，学分5，学时80，2021-2022-2,大学英语A-1，公共基础，必修，学分3.5，学时56，2021-2022-2,思想道德修养与法律基础，公共基础，必修，学分3，学时48，2021-2022-2,大学计算（上），公共基础，必修，学分3，学时48，2021-2022-2,军事理论，公共基础，必修，学分2，学时36，2021-2022-2,平均分
202102001001,6,91,83,83,80,92,87,86
202102001002,6,93,90,78,70,95,84,85
202102001003,6,88,82,76,81,93,80,83.33333333
202102001004,6,86,87,76,77,95,80,83.5
202102001005,6,88,82,80,68,99,80,82.83333333
202102001006,6,95,85,80,80,100,82,87
202102001007,6,90,86,80,77,95,90,86.33333333
202102001008,6,89,84,82,80,88,78,83.5
202102001009,6,85,69,70,72,67,84,74.5
202102001010,6,94,92,84,91,97,90,91.33333333
202102001011,6,96,92,85,85,99,86,90.5
202102001012,6,71,80,77,81,75,77,76.83333333
202102001013,6,92,89,82,76,99,83,86.83333333
202102001014,6,89,85,85,77,100,86,87
202102001015,6,92,94,91,80,94,88,89.83333333
202102001016,6,94,92,84,79,100,84,88.83333333
202102001017,6,90,81,88,82,95,85,86.83333333
202102001018,6,87,81,79,77,78,83,80.83333333
202102001019,6,91,95,76,82,86,85,85.83333333
202102001020,6,92,85,86,77,98,85,87.16666667
202102001021,6,91,89,84,90,92,89,89.16666667
202102001022,6,89,80,87,80,98,90,87.33333333
202102001023,6,90,80,81,82,100,89,87
202102001024,6,87,83,81,84,97,88,86.66666667
202102001025,6,90,89,81,78,89,88,85.83333333
202102001026,6,82,87,82,82,94,81,84.66666667
202102001027,6,88,83,78,78,85,82,82.33333333
202102001028,6,89,85,81,77,76,90,83
202102001029,6,94,93,83,70,90,86,86
202102001030,6,92,94,82,79,87,87,86.83333333
202102001031,6,88,72,79,76,78,85,79.66666667
202102001032,6,79,80,79,78,91,87,82.33333333
202102001033,6,93,92,83,77,98,90,88.83333333
202102001034,6,82,76,85,71,85,80,79.83333333
202102001035,6,83,80,78,85,83,86,82.5
202102001036,6,89,95,92,90,97,94,92.83333333
202102001037,6,85,84,79,76,86,79,81.5
202102001038,6,80,79,77,85,96,80,82.83333333
202102001039,6,84,85,81,70,77,81,79.66666667
202102001040,6,78,73,79,72,81,84,77.83333333
202102001041,6,85,69,80,76,68,85,77.16666667
202102001042,6,68,60,79,74,96,85,77
202102001043,6,91,86,82,75,100,83,86.16666667
202102001044,6,91,84,76,76,88,78,82.16666667
202102001045,6,93,90,84,81,100,81,88.16666667
202102001046,6,88,76,74,75,86,88,81.16666667
202102001047,6,89,89,83,85,94,92,88.66666667
202102001048,6,94,90,80,80,94,89,87.83333333
202102001049,6,87,80,80,81,71,90,81.5
202102001050,6,92,82,71,80,92,84,83.5
202102001051,6,68,68,77,73,78,74,73
202102001052,6,92,87,74,77,93,79,83.66666667
202102001053,6,91,83,81,71,93,85,84
202102001054,6,92,84,90,77,91,89,87.16666667
202102001055,6,86,87,78,81,83,90,84.16666667
202102001056,6,77,80,76,74,79,84,78.33333333
202102001057,6,86,73,82,78,83,80,80.33333333
202102001058,6,88,80,74,缓考,85,89,83.2
202102001059,6,88,90,84,84,99,90,89.16666667
202102001060,6,94,87,80,79,93,86,86.5
202102001061,6,92,93,81,79,100,86,88.5
202102001062,6,70,74,77,72,76,78,74.5
202102001063,6,92,83,87,85,92,90,88.16666667
202102001064,6,85,82,86,92,99,85,88.16666667
202102001065,6,96,90,79,86,88,84,87.16666667
202102001066,6,91,86,79,74,100,85,85.83333333
202102001067,6,76,70,77,74,68,87,75.33333333
202102001068,6,92,80,80,72,69,77,78.33333333
202102001069,6,91,94,83,83,100,80,88.5
202102001070,6,94,96,82,83,100,87,90.33333333
平均分,,87.78571429,83.8,80.71428571,78.68115942,89.75714286,84.75714286,84.26
不及格,,0,0,0,0,0,0,0
